tax_name	tax_rank	taxa_full_id
Acinetobacter sp. MJ4	species	938158
Acinetobacter sp. Mn5-3	species	948075
Acinetobacter sp. NBY54	species	985763
Acinetobacter sp. NCCP-160	species	760259
Acinetobacter sp. NG1(2010)	species	744922
Acinetobacter sp. NIPH 2036	species	1217696
Acinetobacter sp. p-1	species	994872
Acinetobacter sp. P4	species	634492
Acinetobacter sp. Pi 4	species	478735
Acinetobacter sp. PMM5	species	1437525
Acinetobacter sp. PMP1	species	1166488
Acinetobacter sp. Q2BJ2	species	723303
Acinetobacter sp. R7-5A	species	889285
Acinetobacter sp. RBE2CD-114	species	415054
Acinetobacter sp. RBE2CD-28	species	415044
Acinetobacter sp. RBE2CD-31	species	415045
Acinetobacter sp. RBE2CD-76	species	415050
Acinetobacter sp. RE 51	species	936200
Acinetobacter sp. S2(2009)	species	686779
Acinetobacter sp. SB180	species	593576
Acinetobacter sp. SDT58	species	1476962
Acinetobacter sp. SP1	species	945900
Acinetobacter sp. SP9	species	1398328
Acinetobacter sp. STE	species	993494
Acinetobacter sp. T1-3	species	1256698
Acinetobacter sp. T133	species	620956
Acinetobacter sp. TP2MH	species	701276
Acinetobacter sp. TSWCW25	species	659704
Acinetobacter sp. WB22-23	species	979093
Acinetobacter sp. XJ193	species	684061
Acinetobacter sp. YZS-X1-1	species	1501691
Acinetobacter ursingii	species	108980
Acinetobacter venetianus	species	52133
Actibacter sediminis	species	449463
Actinoallomurus acanthiterrae	species	1136071
Actinoallomurus bryophytorum	species	1490222
Actinoallomurus coprocola	species	478106
Actinoallomurus iriomotensis	species	478107
Actinoallomurus liliacearum	species	1080073
Actinoallomurus luridus	species	478111
Actinoallomurus oryzae	species	502180
Actinoallomurus purpureus	species	478114
Actinoallomurus radicium	species	877472
Actinoallomurus sp. 645122	species	936227
Actinoallomurus sp. 645150	species	936225
Actinoallomurus sp. 645152	species	936226
Actinoallomurus sp. ACT-0148	species	675300
Actinoallomurus sp. ACT-0150	species	675301
Actinoallomurus sp. PENDO-1805	species	675304
Actinoallomurus sp. PENDO-1807	species	675305
Actinoallomurus sp. PENDO-1811	species	675306
Actinoallomurus sp. PENDO-1816	species	675308
Actinoallomurus spadix	species	79912
Actinoallomurus vinaceus	species	1080074
Actinoalloteichus hoggarensis	species	1470176
Actinobacillus capsulatus	species	717
Actinobacillus delphinicola	species	51161
Actinobacillus equuli	species	718
Actinobacillus minor	species	51047
Actinobacillus porcinus	species	51048
Actinobacillus porcitonsillarum	species	189834
Actinobacillus seminis	species	722
Actinobacillus suis	species	716
Actinobaculum massiliense	species	202789
Actinobaculum suis	species	1657
Actinocatenispora rupis	species	519421
Actinocatenispora sera	species	390989
Actinocatenispora sp. TS223	species	925374
Actinocorallia aurantiaca	species	46204
Actinocorallia aurea	species	65511
Actinocorallia cavernae	species	328075
Actinocorallia glomerata	species	46203
Actinocorallia herbida	species	58109
Actinocorallia longicatena	species	111803
Actinocorallia sp. YIM 56155	species	566001
Actinocrispum wychmicini	species	1213861
Actinokineospora fastidiosa	species	1816
Actinomadura alba	species	406431
Actinomadura darangshiensis	species	705336
Actinomadura echinospora	species	1992
Actinomadura fulvescens	species	46160
Actinomadura hibisca	species	68565
Actinomadura livida	species	79909
Actinomadura meridiana	species	559626
Actinomadura napierensis	species	267854
Actinomadura rudentiformis	species	359158
Actinomadura rupiterrae	species	559627
Actinomadura scrupuli	species	559629
Actinomadura sp. AML691	species	996185
Actinomadura sp. AMS667	species	996186
Actinomadura sp. AV1	species	579041
Actinomadura sp. CPCC201357	species	504796
Actinomadura sp. EGI 80046	species	1348254
Actinomadura sp. FXJ7.250	species	988816
Actinomadura sp. GKU 128	species	1427535
Actinomadura sp. GKU 505	species	1419017
Actinomadura sp. J5S1	species	1452371
Actinomadura sp. KC-IT-F8	species	619774
Actinomadura sp. KC-IT-H5	species	619775
